AP78,A-040(a),Luce Amen /  Remember Me / Farges Mikh Nit / Zakhor Oti,פֿאַרגעס מיך ניט  \   זכר אותי,Straight Ahead Records WAL 4142707,,,,Cassette/Audio CD Copy X28,,Yiddish/Hebrew,Folk/Theater/Pop,"New York, NY",,11,,,1997,,x,
AP79,A-041(a),Alosza Awdiejew                      W Repertuarze Zydowskim,,Rythm Krakow,,,,Cassette/ Audio CD Copy X29,,Yiddish,Klezmer,"Cracow, Poland",,11,,local,,Gift of Robert & Molly Freedman,x,
AP80,A-042(a),Anita Ammersfeld singt juddische Lieder,אניטה אמרספלד זינגט יידיש,Austro Mechana AEJ CD E1818,,,,,,,,,,,,,,,,x
AP81,A-042(b),Ich Hab' Kein Sharfes Messer                Anita Ammersfeld,,AEJ Music CD E1718 (Austria),,,,,,,,,,,"Anita Ammersfeld, Gerhard Bronner, Ethan Freeman.  Judische -
Lieder und andere Weisheiten.",,,,,x
AP82,A-043(a),Malgorzata Armanowska      Jewish Folk Songs Yiddish Version,אָירי עם יהודיים,BeArTon CD B004,,,,,,,,,,,,,,,,x
AP83,A-044(a),Larisa Averbakh & Ensemble Simkha            Shnirele Perele,,"Jew Comm Cntr, St Petersburg",,,,Audio CD Copy/Cassette X30,,Yiddish,Folk/Pop/Theater/Literary Origin,"St Petersburg, Russia",,22,,local,,,x,
AP84,A-045(a),Atzilut   Souls On Fire                Music for the Kabbala,אצילות,Jack Kessler,,,,Audio CD,,Hebrew,Religious/Mystic,"Philadelphia, PA",,8,,,,Gift of Bob & Molly Freedman,,x
AP85,A-046(a),Apta-Medzibuz Nigunim                  Sung by Jonasan Weiss,ניגוני אפּטאַ מזיבוזי עיבוד ושירה יונתן װיס,Collectors Guild CGL 637,"Liner Notes by The ""Ohev Yisroel Torah Center, Jerusalem, founded -
in memory of the Apta Rebbe (the ""Ohev Yisroel"").",,,Audio CD Copy/Cassette X31,,Hebrew,Khasidic/Religious,Israel,,8,"The cover photo on the tape cover, is The Matre synagogue in Iasi, Romania, built in the 17th century, down the street from the klezmer synogogue on Pantelimon St. Source: 10th page of images, after pg.141 in ""the book of Klezmer"" Strom, Yale, 2002 A Cappellla Books call number:(Freedman) ML 3528.8 S77 2002",local,1991,,x,
AP86,B-001(a),Songs of the Baal Shem         Hasidic Melodies of the Besht,,Collectors Guild CGL 637,,x,7,"33 1/3 rpm 12""/Audio CD copy x155",,Hebrew/Yiddish,Chassidic,New York,,12,,local,,,,x
AP87,B-002(a),Jan Bart Sings Best Loved Jewish Songs by Request,,Request Records RLP 8038,,x,7,Audio CD copy x154,,,,,,,,,,,,x
AP88,B-002(b),Jan Bart Sings More Best Loved Jewish Songs,נײַע אױסגעקליבענע באַליבטער ייִדישע לידער,Request Records RLP 8042,,x,7,Audio CD copy x 157,,,,,,,,,,,,x
AP89,B-002(c),Jan Bart Sings Yinglish,,Janson Records,,,,Audio CD Copy X38,,,,,,,"Music arranged conducted and played by William Gunther. Cassette -
from Charlie Bernhaut.",,,,,m
