26092,Pas d'Espange,פּא־דע־ספּאן (שפּייניש טאַנץ),Instrumental/Dance/Folk,,,,Folio 1206,Compiled by J. Fleishmann and arranged for Piano by Maurice Gold,
26093,Dance For Old People,אַ טאַנץ פֿאַר אַלטע מענער,Instrumental/Dance/Folk,,,,Folio 1206,Compiled by J. Fleishmann and arranged for Piano by Maurice Gold,
26094,Bugarian Dance,בולגער טאַנץ,Instrumental/Dance/Folk,,,,Folio 1206,Compiled by J. Fleishmann and arranged for Piano by Maurice Gold,
26095,Sherele 1,שערעלע,Instrumental/Dance/Folk,,,,Folio 1206,Compiled by J. Fleishmann and arranged for Piano by Maurice Gold,
26096,O'Wlesie Wlesie (Polish Dance),קאַלימאַיקע (פּויליש טאַנץ),Instrumental/Dance/Folk,,,,Folio 1206,Compiled by J. Fleishmann and arranged for Piano by Maurice Gold,
26097,Handclapping Dance,האַנד קלאַפּינג טאַנץ,Instrumental/Dance/Folk,,,,Folio 1206,Compiled by J. Fleishmann and arranged for Piano by Maurice Gold,
8270,Lomir Trinkn A Lekhaim,לאָמיר טרינקן אַ לחיים,,,,,,,
8271,Lomir Trinkn Ale A Lekhaim,לאָמיר טרינקן אַלע אַ לחיים,,,,,,,
8272,Lomir Zayn Freylekh (Instr),לאָמיר זײַן פֿרײלעך (אינסטר),,,,,,,
8273,Lomir Zhe Zingen (Seltzer),לאָמיר זשע זינגען (זלצר),Literary Origin,Poetry/The Familiar/Beggers/Mothers/Maidservants/Warmth/Cold,Manger (Intro)/Manger Illust/ Sh Sh 441/Alb /C-060(a),,,Let Us Sing,Manger Wolf (Intro)/Sh Sh 440/Alb C-060(a)
7581,Komediant,קאָמעדיאַנט,,,,,,"See ""Gasn Zinger""",
7582,Komets Alef,"קומץ אל""ף",,,,,,"Is this a varient of ""Oyfn Pripitshik""",
7583,Kompot (Instr),קאָמפּאָט (אינסטר),,,,,,,
7584,Konfetki Baranochki (Russian),,,,,,,,
