"trackId","sectionNum","matrixNum","placePerformed","instrumentation"
"S1394","16.900","89010","NY","Tenor"
"S1395","16.900","42352-2 ","NY","Tenor & Orchestra"
"S1396","16.900","42353-2 ","NY","Tenor & Orchestra"
"S1397","16.900","B 27592-4 ","Camden, NJ","Tenor & Orchestra"
"S1398","16.900","B 27593-2 ","Camden, NJ","Tenor & Orchestra"
"S1399","16.900","B 27594-2 ","Camden, NJ","Tenor & Orchestra"
"S14","16.100","19239-1","NY","Tenor, Orchestra"
"S140","16.200","B 26256-2 ","NY","Vocal & Orchestra"
"S1400","16.900","11165","NY","Tenor"
"S1401","16.900","89191-2 ","NY","Tenor & Orchestra"
"S1402","16.900","89192-1 ","NY","Tenor & Orchestra"
"S1403","16.900","9014","NY","Tenor & Orchestra"
"S1404","16.900","9015","NY","Tenor & Orchestra"
"S1405","16.900","B 27593-4 ","Camden, NJ","Tenor & Orchestra"
"S1406","16.900","B 28121-2 ","Camden, NJ","Tenor & Orchestra"
"S1407","16.900","B 28122-2 ","Camden, NJ","Tenor & Orchestra"
"S1408","16.900","9033","NY","Tenor & Orchestra"
"S1409","16.900","9034","NY","Tenor & Orchestra"
"S141","16.200","B 26257-1 ","NY","Vocal & Orchestra"
"S1410","16.900","89313","NY","Tenor & Orchestra"
"S1411","16.900","89314","NY","Tenor & Orchestra"
"S1412","16.900","B 28692-2 ","Camden, NJ","Tenor & Orchestra"
"S1413","16.900","B 28693-2 ","Camden, NJ","Tenor & Orchestra"
"S1414","16.900","B 28694-1 ","Camden, NJ","Tenor & Orchestra"
"S1415","16.900","B 28695-2 ","Camden, NJ","Tenor & Orchestra"
