Title,Catalogue_Number,Year,Artist_Band,Record_Label,Record_Format
Lo Sachmoud (sic) [Lo Tachmod],E2900,1916-03,Cantor Josef Rosenblatt,Columbia,"78 RPM - 10"""
"Lo, Here the Gentle Lark",64267,1912-06-10,Alma Gluck,Victrola Record,"78 RPM - 10"" single-sided"
"Lo, Here the Gentle Lark",64267,1912-06-10,Alma Gluck,Victor Record,"78 RPM - 10"" single-sided"
"Lo, Here the Gentle Lark",64267,1912-06-10,Alma Gluck,Victor - His Master's Voice,"78 RPM - 10"" single-sided"
Lo-Omus from Halel,Am 18002-A / Am 18002-B,1908,Cantor Josef Rosenblatt,Odeon,"78 RPM - 10 1/2"""
Loch Lomond,25717-A / 25717-B,1937-11-12,Benny Goodman,Victor - His Master's Voice,"78 RPM - 10"""
Loch Lomond ; Camel Hop,E.A.2084,,Benny Goodman,Gramophone,"78 RPM - 10"""
Lohengrin-Wedding March,55048-A / 55048-B,1918-05-21,Victor Herbert's Orchestra,Victor - His Master's Voice,"78 RPM - 12"""
Lolik Sings Lorca,SI 31013,,Lolik (Avraham Levi),Isradisc Ltd.,"33 1/3 RPM - 12"""
Lom Ich Frier Alten Derbei,V-9003-B / V-9003-A,1928-12-11,Ludwig Satz,Victor - His Master's Voice,"78 RPM - 10"""
Lomer Frelach Zain,V-9057-B / V-9057-A,1939-10-06,Abe Ellstein's Orchestra,Victor - His Master's Voice,"78 RPM - 10"""
Lomer Frelach Zain,25-5024-B / 25-5024-A,1939-10-06,Abe Ellstein's Orchestra,RCA Victor,"78 RPM - 10"""
Lomier Zingen - Let's Sing a Yiddish Song,FAM-1007,,Masha Benya,Famous Records,"33 1/3 RPM - 12"""
Lomir Ale Freilich Sein,AN 43-47,,Benzion Witler,Hed-Arzi,"33 1/3 RPM - 12"""
Lomir Alle Zingen,Y.K. 111 A / Y.K. 109 B,,Isobel Walters,Yiddish Kinder,"78 RPM - 10"""
Lomir sich iberbeten,55291-B / 55291-A,1926-05-05,Cantor Josef Rosenblatt,Victor - His Master's Voice,"78 RPM - 12"""
Lomir sich iberbeten,77217-A / 77217-B,1923-10-31,Anna Hoffman,Victor - His Master's Voice,"78 RPM - 10"""
Lomir Tantzen,25-5026-A / 25-5026-B,,Jewish Orchestra,RCA Victor,"78 RPM - 10"""
Lomir zich Iberbeiten,E7779,1922-07,R. Rubin; W. Ziegenlaub,Columbia,"78 RPM - 10"""
Lomir Zich Iberbeitin,B-2052 B / B-2052 A,,Marlin Sisters; Malavsky Sisters,Banner,"78 RPM - 10"""
Lommir Zich Iberbeten,1045-A / 1045,,Sara Gingold,Sun,"78 RPM - 10"""
London Live,MK 1976,,London School of Jewish Song,MK Productions,"33 1/3 RPM - 12"""
London School of Jewish Song,No. 1273,1973,London School of Jewish Song,Y & Y Productions,"33 1/3 RPM - 12"""
London's Golden Cantors in Sacred Prayer,CHAY 1002,,Naftali Herstik; Michael Binstock; Pesach Segal; Asher Hainovitz; Zeev Toren,Am-Chay,"33 1/3 RPM - 12"""
Lonely Moments,374,1947-01-28,Benny Goodman,Capitol Records,"78 RPM - 10"""
Lonely Together & Alone,70140,,Josie Katz; Shmulic Kraus,CBS,"33 1/3 RPM - 12"""
Long Ago,64266,1912-02-24,Efrem Zimbalist,Victor - His Master's Voice,"78 RPM - 10"" single-sided"
Long Ago / A Maid Sings Light,64268,1912-06-10,Alma Gluck,Victor - His Master's Voice,"78 RPM - 10"" single-sided"
Long Live Giora his Clarinet and his Soul Music,ST-76-AE,,Giora Feldman,Star Records,"33 1/3 RPM - 12"""
Long Live the Nigun,13110,,Giora Feidman,Phonodor,"33 1/3 RPM - 12"""
"Long, Long Ago",64419,1917-03-27,Julia Culp,Victrola Record,"78 RPM - 10"" single-sided"
"Long, Long Ago",87267,1916-09-25,Alma Gluck; Louise Homer,Victor - His Master's Voice,"78 RPM - 10"" single-sided"
Look and Jubilee,S.E.E. 109,,unknown,Galpaz,Cassette tape
Looking forward with Pride,L 5930,,Ahuva Ozeri,Galton,"33 1/3 RPM - 12"""
Lord of Love,,,Itzhak Muller,Private label,Cassette tape
Lorelei,6273-B / 6273-A,1915-09-15,Ernestine Schumann-Heink,Victrola Record,"78 RPM - 12"""
Lorelei-Volkslied,88547,1915-09-15,Ernestine Schumann-Heink,Victrola Record,"78 RPM - 12"" single-sided"
Lorelei-Volkslied (The Loreley),88547,1915-09-15,Ernestine Schumann-Heink,Victor - His Master's Voice,"78 RPM - 12"" single-sided"
Los amigos me dan espéransa,13681,1911-09-02,Cakum Effendi,Polyphon,"78 RPM - 10"""
Los Deine Sorgen Of Ibermorgen,B 13021 / A 13021,1924-10,Aaron Lebedeff,Vocalion,"78 RPM - 10"""
Los Exitos De Israel,S 63438,,Yaffa Yarkoni,CBS,"33 1/3 RPM - 12"""
Los Exitos De Israel,DCA-568,,Yaffa Yarkoni,CBS,"33 1/3 RPM - 12"""
Los Exitos De Israel - Canta En Espanol,35126,,Yaffa Yarkoni,Hataklit,"33 1/3 RPM - 12"""
Los grandes Exitos de,RL 34000,,Benzion Witler,Londisc,"33 1/3 RPM - 12"""
Lost (A Wonderful Girl),A3744,1922-10-10,Al Jolson,Columbia,"78 RPM - 10"""
Lost Arain-Character Song,B 67168 / A 67168,1929-09-20,Aaron Lebedeff,Vocalion,"78 RPM - 10"""
Lots of Love,82363,,Yehoram Gaon,CBS,"33 1/3 RPM - 12"""
Lotus Land,6706-A / 6706-B,,Fritz Kreisler,Victrola Record,"78 RPM - 12"""
"Louis Danto in Recital, New York and Vienna",115,,Cantor Louis Danto,Cadenza Records,CD
Louis Danto Salutes Israel,MHS 1781,,Louis Danto,Musical Heritage Society,"33 1/3 RPM - 12"""
Louis Danto Salutes Israel,113,,Cantor Louis Danto,Cadenza Records,CD
Louis Danto Sings Jewish Melodies from Russia,PRST 2940,,Louis Danto,Period Records,"33 1/3 RPM - 12"""
Louis Danto Sings Jewish Melodies from Russia,RL 1940,,Louis Danto,Period Records,"33 1/3 RPM - 12"""
Louis Danto Sings Russian Art and Folk Songs,LRC 107,,Louis Danto,Cadenza Records,Cassette tape
Louis Danto Sings Russian Folk Songs,RL 1939,,Louis Danto,Period Records,"33 1/3 RPM - 12"""
Louis Lewandowski - Choral and Cantorial Works,ZML511,,Cantor Robert Brody; The Zemel Choir,The Zemel Choir,CD
Louis Lewandowski: Choral & Cantorial Works,514733T,,The Zemel Choir,Musical Heritage Society,CD
Louise - Act II: Dèpuis le jour . . .,17698-A / 17698-B,,Dorothy May,Victor - His Master's Voice,"78 RPM - 12"""
Love (Your Spell is Everwhere),4624,,Belle Baker,Brunswick,"78 RPM - 10"""
Love has many Faces,13095,,Arik Einsatein;Yoni Rechter,Phonodor,"33 1/3 RPM - 12"""
Love Is Such A Cheat,B-2590-A / B-2590-B,,Seymour Rechtzeit,Banner,"78 RPM - 10"""
Love Me or Leave Me,25406-A / 25406-B,1936-08-21,Benny Goodman,Victor - His Master's Voice,"78 RPM - 10"""
Love Me True,UA 50011,,Elmer Bernstein,United Artists Records,45 RPM
Love Me/S Been A Long Time Between Time,22152-A / 22152-B,1929-09-16,Nathan Shilkret,Victor - His Master's Voice,"78 RPM - 10"""
Love Mediterranean Style,70116,,Yehoram Gaon,CBS,"33 1/3 RPM - 12"""
Love Nest,64924,1920-12-02,Fritz Kreisler,Victrola Record,"78 RPM - 10"" single-sided"
Love Nest,714-A / 714-B,1920-12-02,Fritz Kreisler,Victrola Record,"78 RPM - 10"""
Love of My Life,378-T / 378-L,1945-11-14,Artie Shaw,Musicraft,"78 RPM - 10"""
Love Sends a Little Gift of Roses,994-A / 994-B,1924-01-18,Fritz Kreisler,Victrola Record,"78 RPM - 10"""
Love songs and Blessings,,,David Shneyer,BMI,Cassette tape
Love Songs and Blessings - Jewish Wedding Sampler,,,David Shneyer,Judaica Arts,CD
Love Songs for Sabbath - Three Candle Blessings - Psalmistry,8.559433,,Various; Tovah Feldshuh reader,Naxos,CD
Love Songs of Israel / Songs of Israel,VZL 451/452,,Unknown;  Nahum Heiman,Vistas of Israel,"33 1/3 RPM - 12"""
Love Songs of Israel / Songs of the Galil,VZL 255/256,,Unknown,Vistas of Israel,"33 1/3 RPM - 12"""
Love with Sound and Rhythm,S 63323,,Osnat Paz,CBS,"33 1/3 RPM - 12"""
Love's Rhythm,943 B / 943 A,,Freddy Mendelsohn,Sun,"78 RPM - 10"""
Lovely Israel,SI 31054,,Shayke Paikov,Isradisc Ltd.,"33 1/3 RPM - 12"""
"Lovely Israel, Part Two",SI 31124,,David Zakai; Dorit Reuveni; Susan & Fran,Isradisc Ltd.,"33 1/3 RPM - 12"""
"Lover, Come Back to Me",B.8937,,Artie Shaw,Gramophone,"78 RPM - 10"""
Loves To Live,BM 1060,,Shimon Peer,B.M. Records Ltd.,Cassette tape
Low- Down ('Cause I Feel),41058,,Sophie Tucker,Okeh,"78 RPM - 10"""
Lu Yehi,WSD 5733,,Zamir Chorale,Windblown Music,"33 1/3 RPM - 12"""
Lubavitch Wedding,CGL 624,1962,Rudy Tepel and his Orchestra,Collector's Guild,"33 1/3 RPM - 12"""
Lubavitcher Nigunim No. 2,2521; 2522,,Rabbi Shmuel Betzalel Althaus,Hed-Arzi,"33 1/3 RPM - 12"""
Lucia Di Lammermoor,SL-127 /  ML 4933,,Lily Pons; Richard Tucker,Columbia Masterworks,"33 1/3 RPM - 12"""
Lucia Di Lammermoor,RTS20006,,Beerly Sills; Carlo Bergonzi,ABC Records,"33 1/3 RPM - 12"""
Lucia Sextette Burlesque,17119-B / 17119-A,1912-05-22,Billy Murray,Victor - His Master's Voice,"78 RPM - 10"""
Lucie Arnon,AP 312,,Lucie Arnon,Israphon,"33 1/3 RPM - 12"""
Lucky Lindy,418-H,,Jack Kaufman,Harmony,"78 RPM - 10"""
Lucky Us,38668,1949?,Dinah Shore; Buddy Clark,Columbia,"78 RPM - 10"""
Lucrezia Borgia - Brindisi (Drinking Song - It is Better to Laugh) (Act 3),64468,1914-10-21,Sophie Braslau,Victor - His Master's Voice,"78 RPM - 10"" single-sided"
Ludwig Satz & Aaron Lebedeff Sing Their Greatest Yiddish Theater Hits,GRC 58,,Ludwig Satz ; Aaron Lebedeff,Greater Recording Co.,"33 1/3 RPM - 12"""
Ludwig Satz & Aaron Lebedeff Sing Their Greatest Yiddish Theater Hits,GRC 58,,Ludwig Satz ; Aaron Lebedeff,Greater Recording Co.,8-track tape
Ludwig Satz at the Yiddish Theatre - Volume 2,GRC 172,,Ludwig Satz,Greater Recording Co.,Cassette tape
Ludwig Satz at the Yiddish Theatre - Volume 2,GRC 172,,Ludwig Satz,Greater Recording Co.,"33 1/3 RPM - 12"""
Ludwig Satz sings His Most Famous Yiddish Theatre Classics,GRC 250,,Ludwig Satz,Greater Recording Co.,Cassette tape
Ludwig Satz sings His Most Famous Yiddish Theatre Classics - Volume 3,GRC 250,,Ludwig Satz,Greater Recording Co.,"33 1/3 RPM - 12"""
Lullaby,252-B / 253-A,1940,Sidor Belarsky,Musicraft,"78 RPM - 10"""
Lullaby,B-2104,,Anna Shomer Rothenberg,Banner,"78 RPM - 10"""
Lullaby,78356,,Hulda Lashanska,Columbia,"78 RPM - 10"" single-sided"
Lullaby,40012 A / 40012 B,1946-07-14,Bing Crosby; Jascha Heifetz,Decca,"78 RPM - 10"""
Lullaby (from ,64491,1915-03-18,Julia Culp,Victor - His Master's Voice,"78 RPM - 10"" single-sided"
Lullaby from Jocelyn (,89106,1914-03-25,John McCormack; Fritz Kreisler,Victrola Record,"78 RPM - 12"""
Lum Mir Fraylich Zein,45-123,,Marilyn Michaels,Legend,45 RPM
Lustig Un Lebekik,G-5764,,Shimon Dzigan,Galton,"33 1/3 RPM - 12"""
Lustige Nacht,E6101,1911,Russisch-Judische Orch,Columbia,"78 RPM - 10"""
Luvengulu Melech Zulu,AN 14068,,Shlomo Bar Shavit,Hed-Arzi,"33 1/3 RPM - 12"""
"Luz Zich, Tillie, Luz Zich",B-2051 A / B-2051 B,,Molly Picon,Banner,"78 RPM - 10"""
M'chol Hashomrim,920 A / 920 B,,Ahura Tsadok,Victor - His Master's Voice,"78 RPM - 10"""
M'Et Tantzen in Die Gassen,1061 / 1061-A,,Michal Michalesko,Sun,"78 RPM - 10"""
M'lakht A Lebn,G-5763,,Shimon Dzigan,Galton,"33 1/3 RPM - 12"""
Ma (Introducing ,A3473,1921-07-18,Ted Lewis,Columbia,"78 RPM - 10"""
Ma Belle,10-1239-A / 10-1239-B,,Robert Merrill,RCA Victor,"78 RPM - 10"""
Ma Blushin' Rosie,9-23613,1946-03-20,Al Jolson,Decca,45 RPM
Ma God'lu Ma-asecho Adonoi,D5-CC-751-1A / D5-CC-752-1,,Cantor Emil Rosen,UAHC - HUC,"78 RPM - 12"""
Ma Godlu Maasecho Adoshem,49-3590-A / 49-3590-B / 49-3591-A / 49-3591-B / 49-3592-A / 49-3592-B,,Cantor Moshe Kusevitsky,RCA Victor,45 RPM
Ma Li'l Batteau,66083,1922-05-24,Sophie Braslau,Victrola Record,"78 RPM - 10"" single-sided"
Ma nidchtane,63829-A / 63829-B,1908,A. Rosenstein,Victor - His Master's Voice,"78 RPM - 10"""
Ma Noimar,38-1032-A / 38-1032-B,1929-07-31,P. Pinchik,RCA Victor,"78 RPM - 12"""
Ma Noimar,9511-A / 9511-B,1929-07-31,P. Pinchik,Victrola Record,"78 RPM - 12"""
Ma Tov Yachdav (Let's Get Together),AN 43-07,,Various,Hed-Arzi,"33 1/3 RPM - 12"""
Ma'agal Hashanah – Holidays around the Year,301071,,Chaim Parchi,C.Parchi,Cassette tape
Ma-Toiv,B-2041 A / B-2041 B,,Moyshe Oysher,Banner,"78 RPM - 10"""
Ma-Towu,65150-A / 65150-B,,Cantor Sawel Kwartin,Victor - His Master's Voice,"78 RPM - 10"""
Ma-towu,50047-A / 50047-B,,Cantor Sawel Kwartin,Zon-O-Phone,"78 RPM - 10"""
Maapilim,NM-106,1947,Dov Arres,Night Music,"78 RPM - 10"""
Maapilim,NM-106,1947,Dov Arres,Habonim,"78 RPM - 10"""
Maariv-Chanukah Concert - Volume I,300377,,Moshe Koussevitzky,Aderet Records,Cassette tape
Maariv-Chanukah Concert - Volume II,300378,,Moshe Koussevitzky,Aderet Records,Cassette tape
Machar Chodesh - Side 1,E-68,,Cantor Samuel Kligfeld,Menorah,"78 RPM - 10"""
Machaya Klezmer Band,   na,,Machaya Klezmer Band,Ambient Studio,CD
Machaya Klezmer Band,    na,,Machaya Klezmer Band,Ambient Studio,Cassette tape
Macheteinista,B-536 A / B-536 B,,Miriam Kressyn,Banner,"78 RPM - 10"""
Machnisay Rachamim,D9-CC-1790 / D9-CC-1791,,Cantor Kapov Kagan,Hebrew Prayer,"78 RPM - 12"""
Machnisei Rachamim,F3-2B / F3-2A,,Leib Glantz,Musicraft,"78 RPM - 10"""
Machnisey Rachamin,100A,,Cantor Jacob Lefkowitz,Columbia,"78 RPM - 12"""
Machnisey Rachmin,APS 634 / APS 635,,Cantor Samuel Malavsky,Zion Records,"78 RPM - 10"""
Machol Harabi / Ya Ribon,NR-6713-A / NR-6713-B,,Jeffrey Swerdlow,Niva Records,45 RPM
Machotonim A Heim,40089-A / 40089-B,1924-09-17,Kandel's Orchestra,Brunswick,"78 RPM - 10"""
Mad About the Boy,1006-A / 1006-B,,Belle Baker,Gala,"78 RPM - 10"""
Made In New York 18 Greatest Hits,11457CT,,Avner Levy,Avner Productions,Cassette tape
Madhouse,B-10461-A / B-10461-B,1935-09-27,Benny Goodman,Bluebird,"78 RPM - 10"""
Madhouse,25268-A / 25268-B,1935-09-27,Benny Goodman,Victor - His Master's Voice,"78 RPM - 10"""
Madlich,69340-A / 69340-B,1917-03-08,Anna Hoffman; Jacob Jacobs,Victor - His Master's Voice,"78 RPM - 10"""
Madrigale,988-B / 988-A,1923-10-23,Efrem Zimbalist,Victrola Record,"78 RPM - 10"""
Magama Farewell - Live in New York,GB-200,,Megama,Gold Bar,Cassette tape
Magic Breath,,,Helen Medwedeff Greenberg,Toreaddr,CD
Magic Guitar,SI 31091,,The Stereo Ensemble,Isradisc Ltd.,"33 1/3 RPM - 12"""
Magic Violin,SI 31114,,Itzhak Markovetsky,Isradisc Ltd.,"33 1/3 RPM - 12"""
Magical Moments in Cantorial Music,ICD 5069,,Cantor Joseph Malovany,Israel Music Foundation,CD
Mah Nish-Ta-Noh - V'hee She-Om-Dah - Da-Yey-Nu,2 A / 2 B,,Seymour Silbermintz,Nat Assoc Heb Day Schools,"78 RPM - 10"""
Mah Nishtana,LPW 122,1980,Yeshiva College Choir,Aderet Records,"33 1/3 RPM - 12"""
Mah Novu,YC001,,The London Pirchim Choir,West Brothers,"33 1/3 RPM - 12"""
Mah-zel (Means Good Luck),10014B / 10014A,,Marshall Young; The Dennis Sisters,Rainbow,"78 RPM - 10"""
Mahzel,1079-A / 1079-B,,Betty Reilly,DeLuxe,"78 RPM - 10"""
Mahzel,10020-A / 10020-B,,Art Mooney and his Orchestra,MGM,"78 RPM - 10"""
Mahzel,25-1086-A / 25-1086-B,,Estelle Linden,RCA Victor,"78 RPM - 10"""
Mahzel (Means Good Luck),1133 A / 1133 B,,Louis Prima; Cathy Allen,Majestic,"78 RPM - 10"""
Mahzel (Means Good Luck),1059,,Murphy Sisters,Apollo,"78 RPM - 10"""
Mai Ku Mashmelon,E2363,1915-03-11,M. Kanewsky,Columbia,"78 RPM - 10"""
Mai-ke-mashma-lon / A Monologue fin a jeshiwoh bucher,72659-A / 72659-B,1919-05-26,Naum Coster,Victor - His Master's Voice,"78 RPM - 10"""
Mai-Ko-Mashmalon,1045 A / 1045 B,,Abe Schechter,A.B.C. Recording Company,"78 RPM - 10"""
Maida Sings Folk - Israeli and Jewish,AFSD 6136,,Maida,Audio Fidelity,"33 1/3 RPM - 12"""
Maida Sings Folk - Israeli and Jewish,AFLP 2136,,Maida,Audio Fidelity,"33 1/3 RPM - 12"""
Main Harz zugeiht in mir,72169-B / 72169-A,1918-05-29,Elizabeth Gutman,Victor - His Master's Voice,"78 RPM - 10"""
Main Shtetele Belz,6041-A / 6041-B,,Oscar Julius Quartet,Stinson,"78 RPM - 10"""
Main Shtetele Belz - Shneider'l Bir Ichmira,402 A / 402 B,,Oscar Julius Quartet,Asch Recording Studio,"78 RPM - 12"""
Main Shtetele Belz - Shneider'l Bir Ichmira,402 A / 402 B,,Oscar Julius Quartet,Stinson,"78 RPM - 12"""
Main Taer Einikul,D7-CB-1674 / D7-CB-1675,,Jacob Frankel,RCA Victor,"78 RPM - 10"""
Main Veibel Zlate,B-14452 / A-14452,1922-08,Morris Goldstein,Vocalion,"78 RPM - 10"""
Make a Chanukah Miracle,100152,,Cantor Benjamin Z. Maissner; Cantor Benjamin Z. Maissner; Lachan Jewish Chamber Choir,Private label,CD
Make a Joyful Sound,105,,Shimon and Ilana Gewirtz,Springsong Records,CD
Make Believe,26088-A / 26088-B,1939-03-09,Benny Goodman,Victor - His Master's Voice,"78 RPM - 10"""
Make Believe / You Are Love / Misery Motive / Can't Help Lovin' Dat Man,12415-A / 12415-B,,Victor Light Opera Company,Victor - His Master's Voice,"78 RPM - 12"""
Make Him Say Please,4002,,Sophie Tucker,Mercury Publications,"78 RPM - 10"""
Make With the Kisses,35313,1939-10-20,Benny Goodman,Columbia,"78 RPM - 10"""
Makin' Woopee!,21831-A / 21831-B,1928-12-18,Eddie Cantor,Victor - His Master's Voice,"78 RPM - 10"""
Making the Best of Each Day,8389-A / 8389-B,,Eddie Cantor,Rex Records,"78 RPM - 10"""
Malagueña,15823-A / 15823-B,,Yehudi Menuhin,RCA Victor,"78 RPM - 12"""
Malagueña (Spanish Dance),1244-A / 1244-B,,Fritz Kreisler,Victrola Record,"78 RPM - 10"""
Malavsky Family,BAS 8-1010,,Malavsky Family,Banner,8-track tape
Malavsky Family,S 64175,,Malavsky Family,CBS,"33 1/3 RPM - 12"""
Malavsky Family,BAS-C-1010,,Malavsky Family,Banner,Cassette tape
Malavsky Family,BAS-1010,,Malavsky Family,Banner,"33 1/3 RPM - 12"""
Malavsky Family,BA-1010,,Malavsky Family,Banner,"33 1/3 RPM - 12"""
Malavsky's Historical Masterpieces,AZ 91671/2,,Cantor Samuel Malavsky and Family Choir,RPC,"33 1/3 RPM - 12"""
Malka & Joso,T6108,,Malka & Joso,Capitol Records,"33 1/3 RPM - 12"""
Malka & Joso,T10423,,Malka & Joso,Capitol Records,"33 1/3 RPM - 12"""
Malka and Moishe,B-2593,,Phil Carter; Bob Gordon,Banner,"78 RPM - 10"""
Malorusiske Potpourri,E2256,1915-01-07,N. Hollander,Columbia,"78 RPM - 10"""
Malovany Sings Yiddish Songs - I Long For The Song,,,Joseph Malovany,Velvel Pasternak,"33 1/3 RPM - 12"""
Malovany Sings Yiddish Songs - I Long For The Song,IMC 1056,,Joseph Malovany,Israel Music Foundation,Cassette tape
Malu Asamenu Bar,117,,Israel Folk Dance Orchestra,Israel,"78 RPM - 10"""
Mama,10939-B / 10939-A,,Johnny Desmond,MGM,"78 RPM - 10"""
Mama / Roumania / Bashanah Ha-Baah,RS-75,,Gadi Elon,Isra-Art Records,45 RPM
Mama Goes where Papa Goes (Or Papa Don't Go Out Tonight),14083-A / 14083-B,,Sophie Tucker,Okeh,"78 RPM - 10"""
Mama L'Shon - The Best Yiddish Songs,HL-8089,,Dudu Fisher,Helicon Records,Cassette tape
Mama Yo Quiero,8257-F,,Peisachke Burstein; Lillian Lux,Columbia,"78 RPM - 10"""
"Mama, Do I Gotta?",37291,1946-11,Dinah Shore,Columbia,"78 RPM - 10"""
Mamaliga,77018-A / 77018-B,1923-01-24,Kandel's Orchestra,Victor - His Master's Voice,"78 RPM - 10"""
Mamaloshen,78459-2,,Mandy Patinkin,Nonesuch Records,CD
Mamaloshen,78459-4,,Mandy Patinkin,Nonesuch Records,Cassette tape
Mambo Moish,B-2062,,The Barton Brothers,Menorah,Cassette tape
Mambo Moish (Side 3),R-5,,The Barton Brothers,Allo Records,"78 RPM - 10"""
"Mame, Yiddishe Mame",A 67150 / B 67150,1929-04-16,Irving Grossman,Vocalion,"78 RPM - 10"""
Mameniu harzuniu,69735-A / 69735-B,1917-08-15,Leon Rosenstein,Victor - His Master's Voice,"78 RPM - 10"""
Mamenue Lubenue,73798-B / 73798-A,1923-02-19,Joseph Feldman,Victor - His Master's Voice,"78 RPM - 10"""
Mamenyu,1067,,David Fisher,DJ,Cassette tape
Mamenyu,1067,,David Fisher,DJ,"33 1/3 RPM - 12"""
"Mames, Hiet Eiere Techter; Feigele",13266,,,Emerson,"78 RPM - 10"""
Mamma Goes Where Papa Goes,9549-A / 9549-B,,Bob White,Regal,"78 RPM - 10"""
Mammy,CDD 436,,Al Jolson,Proarte,CD
MAM…,007,,Arkady Gershberg and his Orchestra                    MAM...,Arkad Records,"33 1/3 RPM - 12"""
Man Legt Es Arouf Auf Mir,8008-F,1923-10,Ludwig Satz,Columbia,"78 RPM - 10"""
Man of La Mancha,70033,,cast,CBS,"33 1/3 RPM - 12"""
Man to Man,MRS 121 A/B-C,,Gershon Veroba,Nova Records,Cassette tape
Man to Man,MRS 121,,Gershon Veroba,Nova Records,"33 1/3 RPM - 12"""
Mandalay,2650-A / 2650-B,1924-07-02,Al Jolson,Brunswick,"78 RPM - 10"""
"Manfred Lewandowski, Baritone",STPL 517.110,,Manfred Lewandowski,Vox,"33 1/3 RPM - 12"""
Mangina Nishkahat,670,,Yaffa Yarkoni,Hed-Arzi,"78 RPM - 10"""
Manginot 1 - Israeli Folk Dances,,,Shlomo Maman,Private label,"33 1/3 RPM - 12"""
Manginot 2 - Israeli Folk Dances,,,Shlomo Maman,Private label,"33 1/3 RPM - 12"""
Manhattan,20-4345,,Dinah Shore; Tony Martin,RCA Victor,"78 RPM - 10"""
Manna from the World of Jewish Song,CSP 240,,Various,Columbia,"33 1/3 RPM - 12"""
Manny Blanc Plays Jewish Jazz,CR 3090,,Manny Blanc,Golden Crest,"33 1/3 RPM - 12"""
Maoz Alef Alef,BAN 14135,,Southern Comand Variety Ensemble,Hed-Arzi,"33 1/3 RPM - 12"""
Marc Chagall a poem written & read in Yiddish by Aaron Kurtz,FL 9949,,Aaron Kurtz,Folkways Ethnic Records,"33 1/3 RPM - 12"""
March of the Boyards,49-1340-A / 49-1340-B,,Arthur Fiedler,RCA Victor,45 RPM
Marcha Israeli,4751 / 4754,,Sarah Gorby,Melotone,"78 RPM - 10"""
Marches of the Israel Armed Forces,62945,,D Sambursky,CBS,"33 1/3 RPM - 12"""
Marches of the Israel Armed Forces,CBS-53902-4,,D Sambursky,CBS,Cassette tape
Marches of the Israel Defense Forces,CS 9524,,Isaac Graziani,Columbia,"33 1/3 RPM - 12"""
Marches of the Israel Defense Forces,CL 2724,,Israel Army Band,Columbia,"33 1/3 RPM - 12"""
Marches Waltzes & Hakofa Negunim - Time To Dance,ZLB 17,,Neginah Orchestra,ZLB,"33 1/3 RPM - 12"""
"Marches, Songs, Speeches - Nazi Germany - WW II - Hilter's Inferno Vol. 2",AM 2450,,unknown,Audio Masterpiece,"33 1/3 RPM - 12"""
Marcia Falk Blessings in Song,HA1111,,Linda Hirschhorn ; Fran Avni,Half Note Productions,CD
Marcus Goldman Orchestra,MG 1002,,Alex Marcus Goldman,Al -Mar Records,"33 1/3 RPM - 12"""
Marcus Goldman Orchestra,MG 1001,,Alex Marcus Goldman,Al -Mar Records,"33 1/3 RPM - 12"""
Marechiare,40021-A / 40021-B,1923-01,Isa Kremer,Brunswick,"78 RPM - 10"""
Margalit 'Travel with Me My Dove and Listen to Me' - Songs of the Middle East,FTS 31307,,Various,Folkways Ethnic Records,"33 1/3 RPM - 12"""
Margarita,79100-B / 79100-a,1926-12-06,Lucy German; Leon Gold,Victor - His Master's Voice,"78 RPM - 10"""
Margarita,20099-F,1927-02,David Medoff,Columbia,"78 RPM - 10"""
Margeritkes,F-8008-A / F-8008-B,,Miriam Kressyn,Standard,"78 RPM - 10"""
Margie,23723 A / 23723 B,1944-11-01,Eddie Cantor,Decca,"78 RPM - 10"""
Margie,26060-A / 26060-B,1938-09-14,Benny Goodman,Victor - His Master's Voice,"78 RPM - 10"""
Mariasha,6034-A / 6034-B,,Maxim Brody; Zelda Zlatin,Stinson,"78 RPM - 10"""
